Name,Count,Rank,Percent,Overall_Rank,Total_Count
DURAN,49740,601,0.02,601,49740
HUTCHINSON,49740,602,0.02,602,49740
HESS,49740,603,0.02,603,49740
DORSEY,49740,604,0.02,604,49740
BULLOCK,49740,605,0.02,605,49740
ROBLES,49740,606,0.02,606,49740
BEARD,47253,607,0.019,607,47253
DALTON,47253,608,0.019,608,47253
AVILA,47253,609,0.019,609,47253
VANCE,47253,610,0.019,610,47253
RICH,47253,611,0.019,611,47253
BLACKWELL,47253,612,0.019,612,47253
YORK,47253,613,0.019,613,47253
JOHNS,47253,614,0.019,614,47253
BLANKENSHIP,47253,615,0.019,615,47253
TREVINO,47253,616,0.019,616,47253
SALINAS,47253,617,0.019,617,47253
CAMPOS,47253,618,0.019,618,47253
PRUITT,47253,619,0.019,619,47253
MOSES,47253,620,0.019,620,47253
CALLAHAN,47253,621,0.019,621,47253
GOLDEN,47253,622,0.019,622,47253
MONTOYA,47253,623,0.019,623,47253
HARDIN,47253,624,0.019,624,47253
GUERRA,47253,625,0.019,625,47253
MCDOWELL,47253,626,0.019,626,47253
CAREY,47253,627,0.019,627,47253
STAFFORD,47253,628,0.019,628,47253
GALLEGOS,47253,629,0.019,629,47253
HENSON,47253,630,0.019,630,47253
WILKINSON,47253,631,0.019,631,47253
BOOKER,47253,632,0.019,632,47253
MERRITT,47253,633,0.019,633,47253
MIRANDA,47253,634,0.019,634,47253
ATKINSON,47253,635,0.019,635,47253
ORR,47253,636,0.019,636,47253
DECKER,47253,637,0.019,637,47253
HOBBS,47253,638,0.019,638,47253
PRESTON,47253,639,0.019,639,47253
TANNER,47253,640,0.019,640,47253
KNOX,47253,641,0.019,641,47253
PACHECO,47253,642,0.019,642,47253
STEPHENSON,44766,643,0.018,643,44766
GLASS,44766,644,0.018,644,44766
ROJAS,44766,645,0.018,645,44766
SERRANO,44766,646,0.018,646,44766
MARKS,44766,647,0.018,647,44766
HICKMAN,44766,648,0.018,648,44766
ENGLISH,44766,649,0.018,649,44766
SWEENEY,44766,650,0.018,650,44766
STRONG,44766,651,0.018,651,44766
PRINCE,44766,652,0.018,652,44766
MCCLURE,44766,653,0.018,653,44766
CONWAY,44766,654,0.018,654,44766
WALTER,44766,655,0.018,655,44766
ROTH,44766,656,0.018,656,44766
MAYNARD,44766,657,0.018,657,44766
FARRELL,44766,658,0.018,658,44766
LOWERY,44766,659,0.018,659,44766
HURST,44766,660,0.018,660,44766
NIXON,44766,661,0.018,661,44766
WEISS,44766,662,0.018,662,44766
TRUJILLO,44766,663,0.018,663,44766
ELLISON,44766,664,0.018,664,44766
SLOAN,44766,665,0.018,665,44766
JUAREZ,44766,666,0.018,666,44766
WINTERS,44766,667,0.018,667,44766
MCLEAN,44766,668,0.018,668,44766
RANDOLPH,44766,669,0.018,669,44766
LEON,44766,670,0.018,670,44766
BOYER,44766,671,0.018,671,44766
VILLARREAL,44766,672,0.018,672,44766
MCCALL,44766,673,0.018,673,44766
GENTRY,44766,674,0.018,674,44766
CARRILLO,42279,675,0.017,675,42279
KENT,42279,676,0.017,676,42279
AYERS,42279,677,0.017,677,42279
LARA,42279,678,0.017,678,42279
SHANNON,42279,679,0.017,679,42279
SEXTON,42279,680,0.017,680,42279
PACE,42279,681,0.017,681,42279
HULL,42279,682,0.017,682,42279
LEBLANC,42279,683,0.017,683,42279
BROWNING,42279,684,0.017,684,42279
VELASQUEZ,42279,685,0.017,685,42279
LEACH,42279,686,0.017,686,42279
CHANG,42279,687,0.017,687,42279
HOUSE,42279,688,0.017,688,42279
SELLERS,42279,689,0.017,689,42279
HERRING,42279,690,0.017,690,42279
NOBLE,42279,691,0.017,691,42279
