Name,Count,Rank,Percent,Overall_Rank,Total_Count
GRISHAM,6160,3808,90.6,4768,6796
GRENIER,6160,3808,95.8,5007,6429
SPITZER,6159,3811,96.3,5035,6395
PEACE,6154,3812,71.5,3781,8601
ACOSTA,6149,3813,8,377,76477
MARCHESE,6149,3813,94.8,4974,6483
CATHEY,6143,3815,71.9,3815,8538
HAMMETT,6142,3816,85.2,4527,7206
DOOLITTLE,6142,3816,92.2,4836,6658
BAXLEY,6140,3818,92.5,4849,6641
POINDEXTER,6136,3819,54.8,2958,11201
SILER,6133,3820,77.5,4145,7910
COUSINS,6130,3821,70.5,3748,8691
LEROY,6129,3822,80.9,4338,7579
BOOHER,6124,3823,95.2,4998,6436
NELSEN,6124,3823,96.4,5066,6352
FELTS,6123,3825,92,4840,6652
MANDEL,6121,3826,93.7,4940,6532
RIEDEL,6120,3827,95.2,5006,6430
BURNSIDE,6119,3828,72.2,3854,8470
EVERSON,6119,3828,82.4,4421,7422
SMOOT,6117,3830,68.3,3646,8955
BLACKWOOD,6116,3831,78,4195,7837
RIDGE,6115,3832,88.1,4672,6942
BROPHY,6115,3832,96.5,5077,6339
STUMPF,6115,3832,96.8,5100,6315
WOOLLEY,6113,3835,92.6,4888,6598
LEHR,6111,3836,96.4,5079,6338
FEE,6109,3837,91.4,4819,6687
SMITHSON,6106,3838,89.7,4763,6805
BORN,6106,3838,95.6,5042,6385
GREENWALD,6104,3840,96.6,5098,6316
CORRELL,6103,3841,94.6,4992,6452
WEEMS,6102,3842,63.9,3432,9544
STEADMAN,6102,3842,84,4499,7261
GOWER,6102,3842,94.3,4982,6469
HOGG,6098,3845,83.5,4471,7299
BETTENCOURT,6094,3846,88.5,4706,6888
BONTRAGER,6094,3846,98.2,5174,6208
VANOVER,6093,3848,94.4,4991,6453
MESSICK,6093,3848,96,5070,6349
FRIESEN,6091,3850,95.9,5064,6353
GURLEY,6090,3851,75.7,4068,8042
HEISER,6088,3852,97.4,5152,6249
RIFE,6086,3853,95.1,5031,6400
GOODIN,6085,3854,88.3,4703,6894
PFAFF,6085,3854,96.9,5129,6282
GELLER,6084,3856,96.1,5086,6331
GASS,6083,3857,88.8,4736,6850
BERNDT,6081,3858,97,5139,6267
CHITWOOD,6080,3859,96.1,5093,6324
TOWNE,6078,3860,92.4,4906,6581
SPIEGEL,6077,3861,96.7,5123,6285
BERRYMAN,6074,3862,81.9,4426,7412
GREENWELL,6073,3863,94.1,4990,6454
MORELLI,6069,3864,94.5,5015,6419
ALBANESE,6066,3865,96.5,5121,6286
BORGES,6059,3866,58.9,3196,10282
BRISTOW,6058,3867,84.9,4563,7134
MAGGARD,6057,3868,95.3,5060,6359
BADGER,6055,3869,79.5,4308,7620
HAMMOCK,6055,3869,83.1,4482,7287
HARWELL,6055,3869,83.9,4522,7219
PENDERGRASS,6050,3872,76.5,4148,7904
ORTH,6049,3873,96.3,5126,6284
BUEHLER,6048,3874,97,5159,6238
ROOD,6044,3875,94.2,5019,6413
DOANE,6037,3876,95.1,5068,6350
BOGART,6035,3877,95.6,5103,6310
ROHR,6035,3877,96.2,5134,6272
HOLLY,6034,3879,68.1,3680,8856
